D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.00
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
56324|2015|Toyota|Camry|sedan|White|87543|8495.00
67290|2018|Chevrolet|Malibu|sedan|Black|65210|10995.00
78345|2007|Nissan|Frontier|truck|Silver|214300|5995.00
89432|2010|Jeep|Liberty|SUV|Blue|143987|7495.00
90567|2003|Ford|Focus|sedan|Green|188432|2995.00
12345|2019|Hyundai|Elantra|sedan|Gray|43122|11995.00
23456|2020|Kia|Sportage|SUV|White|30210|17995.00
34567|2016|Mazda|CX-5|SUV|Red|67321|13995.00
45678|2014|Subaru|Outback|wagon|Blue|98230|12995.00
56789|2006|Chevrolet|Tahoe|SUV|Black|203415|5995.00
67890|2011|Toyota|Tacoma|truck|Silver|129876|10995.00
78901|2005|Honda|Accord|sedan|Maroon|165432|4495.00
89012|2017|Volkswagen|Jetta|sedan|White|58423|9995.00
90123|2021|Tesla|Model 3|sedan|Black|15234|32995.00
11223|2008|GMC|Sierra|truck|Gray|188456|8995.00
22334|2013|Dodge|Durango|SUV|Red|110543|11495.00
33445|2010|Chrysler|300|sedan|Silver|141209|6995.00
